# fetched=2026-09-04 stations=47 rows=59293
# columns=weekTag,inout,stationIdx,trainNo,arriveSec,leftSec ; weekTag 1=weekday 2=sat 3=holiday ; inout 1=inner(내선) 2=outer(외선) ; checked=2006@홍대입구→inout=1
1,1,0,2004,20340,20370
1,1,0,2006,21030,21060
1,1,0,2008,21450,21480
1,1,0,2010,21840,21870
1,1,0,2012,22230,22260
1,1,0,2014,22650,22680
1,1,0,2016,23070,23100
1,1,0,2018,23370,23400
1,1,0,2020,23790,23820
1,1,0,2022,24060,24090
1,1,0,2024,24390,24420
1,1,0,2026,24660,24720
1,1,0,2028,25080,25140
1,1,0,2030,25500,25560
1,1,0,2032,25740,25800
1,1,0,2034,25920,25980
1,1,0,2036,26100,26160
1,1,0,2038,26460,26520
1,1,0,2040,26670,26730
1,1,0,2042,26880,26940
1,1,0,2044,27270,27330
1,1,0,2046,27510,27570
1,1,0,2048,27690,27750
1,1,0,2050,27870,27930
1,1,0,2052,28080,28140
1,1,0,2054,28320,28380
1,1,0,2056,28530,28590
1,1,0,2058,28710,28770
1,1,0,2060,28920,28980
1,1,0,2062,29160,29220
1,1,0,2064,29340,29400
1,1,0,2066,29580,29640
1,1,0,2068,29760,29820
1,1,0,2070,30000,30060
1,1,0,2072,30240,30300
1,1,0,2074,30480,30540
1,1,0,2076,30660,30720
1,1,0,2078,30900,30960
1,1,0,2080,31080,31140
1,1,0,2082,31320,31380
1,1,0,2084,31500,31560
1,1,0,2086,31680,31740
1,1,0,2088,31890,31950
1,1,0,2090,32100,32160
1,1,0,2092,32280,32340
1,1,0,2094,32460,32520
1,1,0,2096,32640,32700
1,1,0,2098,32850,32880
1,1,0,2100,33090,33120
1,1,0,2102,33270,33300
1,1,0,2104,33450,33480
1,1,0,2106,33660,33690
1,1,0,2108,33900,33930
1,1,0,2110,34110,34140
1,1,0,2112,34320,34350
1,1,0,2116,34650,34680
1,1,0,2118,34890,34920
1,1,0,2120,35100,35130
1,1,0,2122,35280,35310
1,1,0,2124,35520,35550
1,1,0,2126,35760,35790
1,1,0,2128,36000,36030
1,1,0,2130,36180,36210
1,1,0,2132,36360,36390
1,1,0,2134,36570,36600
1,1,0,2136,36780,36810
1,1,0,2138,36960,36990
1,1,0,2140,37140,37170
1,1,0,2142,37320,37350
1,1,0,2146,37740,37770
1,1,0,2148,37920,37950
1,1,0,2150,38100,38130
1,1,0,2154,38460,38490
1,1,0,2156,38850,38880
1,1,0,2160,39240,39270
1,1,0,2162,39690,39720
1,1,0,2166,40020,40050
1,1,0,2168,40320,40350
1,1,0,2170,40620,40650
1,1,0,2172,40920,40950
1,1,0,2174,41190,41220
1,1,0,2178,41790,41820
1,1,0,2180,42030,42090
1,1,0,2182,42390,42420
1,1,0,2186,42780,42810
1,1,0,2188,43140,43170
1,1,0,2192,43500,43530
1,1,0,2194,43860,43890
1,1,0,2196,44220,44250
